hand_prefix,hand_id,type1,type2,type3,currency,table_id,max_table,button_id,my_card_11,my_card_12,my_card_21,my_card_22,my_seat_num,small_blind_id,small_blind_sum,big_blind_id,big_blind_sum,Seat_1_id,Seat_2_id,Seat_3_id,Seat_4_id,Seat_5_id,Seat_6_id
Dollaro,#000911458930:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,6,s,T,h,1,rosy71,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458930:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,6,s,T,h,1,rosy71,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458930:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,6,s,T,h,1,rosy71,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458930:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,6,s,T,h,1,rosy71,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458930:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,6,s,T,h,1,rosy71,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458930:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,6,s,T,h,1,rosy71,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458930:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,6,s,T,h,1,rosy71,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458930:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,6,s,T,h,1,rosy71,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458971:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,T,h,Q,c,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458971:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,T,h,Q,c,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458971:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,T,h,Q,c,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458971:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,T,h,Q,c,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458971:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,T,h,Q,c,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458988:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,6,h,9,d,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458988:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,6,h,9,d,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911458988:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,6,h,9,d,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,rosy71,,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459015:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,8,h,5,d,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459062:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#3,K,s,J,h,1,windbuc,0.02,rosy71,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459120:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#4,8,d,2,d,1,rosy71,0.02,shortpez,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459183:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#5,8,d,4,d,1,shortpez,0.02,areacac,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459261:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#6,A,s,4,d,1,areacac,0.02,SMGVLR_peperonexxx,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459337:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#1,7,s,2,h,1,SMGVLR_peperonexxx,0.02,Megan01,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459413:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,A,h,6,c,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
Dollaro,#000911459413:,Hold'em No Limit,0.02,0.05,EUR,5586,6-max,#2,A,h,6,c,1,Megan01,0.02,windbuc,0.05,areacac,SMGVLR_peperonexxx,Megan01,windbuc,rosy71,shortpez
